Method,Collars,coverage
Bayesian Random,5,0.9835
Bayesian Random,10,0.98
Bayesian Random,20,0.9765
Bayesian Random,30,0.964
Bayesian Random,50,0.9455
Bayesian Fixed,5,0.6615
Bayesian Fixed,10,0.799
Bayesian Fixed,20,0.9275
Bayesian Fixed,30,0.917
Bayesian Fixed,50,0.949
Frequentist Retro,5,0.5425
Frequentist Retro,10,0.7675
Frequentist Retro,20,0.919
Frequentist Retro,30,0.9635
Frequentist Retro,50,0.9675
